"cohort","sex","age_cat","education_cat","intention_to_vote","choice_of_party","political_orientation","marstat","household","hzcy001a","hzcy002a","hzcy003a","hzcy004a","hzcy005a","hzcy006a","hzcy007a","hzcy008a","hzcy009a","hzcy010a","hzcy011a","hzcy012a","hzcy013a","hzcy014a","hzcy015a","hzcy016a","hzcy018a","hzcy019a","hzcy020a","hzcy021a","hzcy022a","hzcy023a","hzcy024a","hzcy025a","hzcy026a","hzcy027a","hzcy028a","hzcy029a","hzcy030a","hzcy031a","hzcy032a","hzcy033a","hzcy034a","hzcy035a","hzcy036a","hzcy037a","hzcy038a","hzcy039a","hzcy040a","hzcy041a","hzcy042a","hzcy043a","hzcy044a","hzcy045a","hzcy046a","hzcy047a","hzcy048a","hzcy049a","hzcy050a","hzcy051a","hzcy052a","hzcy053a","hzcy054a","hzcy055a","hzcy056a","hzcy057a","hzcy058a","hzcy059a","hzcy060a","hzcy061a","hzcy062a","hzcy063a","hzcy064a","hzcy065a","hzcy066a","hzcy067a","hzcy068a","hzcy069a","hzcy070a","hzcy071a","hzcy072a","hzcy073a","hzcy074a","hzcy075a","hzcy076a","hzcy077a","hzcy078a","hzcy079a","hzcy080a","hzcy081a","hzcy083a","hzcy084a","hzcy085a","hzcy086a","hzcy087a","hzcy088a","hzcy089a","hzcy090a","hzcy091a","hzcy092a","hzcy093a","hzcy095a","hzcy096a","hzcy097a","hzcy098a","hzcy099a","hzza003a","hzzq009a","hzzq023a","hzzp201a","hzzp204a","hzzp207a"
"1","2",9,"2","2",1,6,"3","2",3,3,4,2,1,"1","1","1","0","0","1","1","1","1","0","0","0",5,5,5,5,5,5,5,1,5,1,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,5,5,4,5,4,4,5,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0","0","0","1","0","0","1","0","0",NA,NA,NA,NA,"1",5,5,"31",269,1584541073
"3","1",7,"2","2",98,5,"1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,5,"22",NA,1585334079
"3","1",2,"3","2",6,6,"2","2",5,5,3,5,4,"0","0","0","0","0","1","1","0","1","0","0","0",5,5,5,3,5,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,3,3,3,5,3,3,4,5,5,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","1","0","0","0","0","0","1","1","0",NA,NA,NA,NA,"1",4,4,"31",230,1584726055
"1","1",2,"3","2",5,3,"2","3",4,4,3,4,4,"1","0","0","0","0","1","0","1","1","0","1","0",4,5,5,5,5,5,5,2,NA,NA,NA,NA,NA,NA,2,1,3,3,2,2,3,3,3,2,3,5,4,3,4,4,4,4,4,4,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","1","1","0","0","0","1","1","0","0",NA,NA,NA,NA,"1",3,4,"31",674,1584725934
"2","1",7,"2","2",4,0,"1","2",6,6,5,5,4,"1","1","0","0","0","1","0","1","1","0","0","0",5,5,5,5,5,2,5,1,5,2,5,4,4,4,NA,NA,NA,NA,NA,NA,NA,3,1,3,3,5,4,3,5,4,2,5,5,5,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","1","0","0","1","1","1","0","0",1,0,0,0,"1",4,5,"31",784,1584740974
"1","2",7,"3","2",2,5,"1","3",5,5,4,5,5,"1","1","0","0","0","1","0","1","1","0","0","0",4,5,5,5,5,5,4,1,5,NA,3,5,4,5,NA,NA,NA,NA,NA,NA,NA,3,3,1,3,5,4,3,5,4,4,4,3,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","0","1","1","1","0","0","1","0","0",NA,NA,NA,NA,"1",4,4,"31",325,1584492888
"1","1",7,"2","2",2,5,"1","2",2,3,2,2,2,"1","1","1","0","0","1","1","0","1","0","0","0",5,5,5,5,5,5,3,1,5,2,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,4,4,2,4,2,1,3,1,2,2,NA,NA,NA,NA,NA,NA,NA,"1","0","1","1","0","0","0","1","0","0","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0","0","0","1","0","0","0","1","0",NA,NA,NA,NA,"1",5,5,"31",406,1584463320
"1","1",4,"2","2",4,1,"2","3",6,6,2,4,5,"1","1","1","0","0","1","1","1","1","0","0","0",5,5,5,5,5,4,3,1,4,2,3,3,3,4,NA,NA,NA,NA,NA,NA,NA,3,2,3,3,3,3,3,5,2,2,4,5,5,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",1,1,0,0,0,0,0,0,0,0,0,"1","0","0","0","0","0","1","0","1","1","0",1,0,0,1,"1",4,5,"31",628,1585327812
"3","1",10,"2","2",1,8,"1","2",2,3,2,2,2,"0","1","0","0","0","1","0","0","1","0","0","0",4,5,5,4,3,2,1,1,5,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,3,2,3,3,5,3,4,4,3,2,3,4,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","0","0","0","1","0","0","1","0","0",NA,NA,NA,NA,"1",4,5,"31",609,1584468280
"2","1",7,"2","2",5,2,"1","2",6,5,4,3,5,"1","0","1","0","0","1","1","0","1","0","0","0",4,4,4,4,NA,2,1,2,NA,NA,NA,NA,NA,NA,3,4,5,4,3,1,1,1,3,2,2,3,3,3,4,2,2,3,3,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1","1","1","0","0","1","0","0",NA,NA,NA,NA,"1",3,3,"31",378,1584469680
"2","1",4,"3","2",5,2,"2","1",5,4,2,5,4,"1","1","0","0","0","0","1","0","1","0","0","0",4,4,4,4,4,4,4,1,5,1,3,5,5,5,NA,NA,NA,NA,NA,NA,NA,3,2,3,3,5,4,3,5,4,4,4,5,5,1,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","1","0","0","1","1","0","0","0","0",1,0,1,NA,"1",5,5,"31",360,1584479039
"2","2",2,"3","2",5,3,"2","1",5,6,3,6,5,"1","0","1","0","0","0","1","0","1","0","0","0",4,4,5,4,3,4,4,1,5,1,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,98,3,3,4,3,2,3,3,2,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","1","0","0","0","0","1","1","0","0",NA,NA,NA,NA,"1",5,5,"31",236,1584539221
"3","2",4,"2","2",6,5,"1","3",4,5,3,5,6,"1","1","1","0","0","1","1","0","1","0","0","0",5,5,5,5,5,5,5,1,5,2,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,3,1,2,2,4,4,2,5,4,4,4,5,5,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",0,1,0,0,0,0,0,0,0,0,0,"0","1","1","0","1","0","1","1","1","0","0",1,1,0,0,"1",5,5,"31",557,1584702012
"1","1",9,"2","2",1,8,"1","2",3,4,2,3,3,"0","0","0","0","0","1","1","1","0","0","0","0",3,4,4,4,5,4,4,1,4,4,5,4,4,4,NA,NA,NA,NA,NA,NA,NA,2,3,3,3,4,5,4,4,4,4,4,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","0","1","0","1","0","0","1","0","0",NA,NA,NA,NA,"1",4,4,"31",443,1584470105
"1","1",9,"3","2",4,3,"1","2",4,4,4,3,4,"1","1","0","0","0","1","1","0","1","0","0","0",4,5,5,5,5,5,3,1,4,1,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,2,2,3,3,5,4,4,4,4,4,4,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1","0","0","0","0","1","0","0",NA,NA,NA,NA,"1",4,4,"31",1581,1584467870
"1","2",8,"3","2",2,0,"2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA
"3","2",10,"3","2",5,2,"1","2",2,3,3,4,3,"1","1","0","0","0","1","0","0","1","0","0","0",5,5,5,4,5,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,3,4,4,4,5,4,5,5,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","0","1","0","1","0","0","0","1","0",NA,NA,NA,NA,"1",4,5,"31",379,1584560311
"3","2",2,"3","97",97,5,"1","2",5,5,4,6,5,"1","1","1","0","0","1","1","1","1","0","0","0",4,4,4,3,5,3,4,1,5,2,5,3,3,3,NA,NA,NA,NA,NA,NA,NA,1,3,2,3,5,3,3,4,4,4,4,4,4,1,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","1","0","0","0","0","1","1","0","0","0",1,0,0,0,"1",4,4,"31",140,1584528428
"3","2",7,"2","2",98,5,"1","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA
"1","1",10,"3","2",5,3,"1","2",1,1,1,3,3,"0","0","0","0","0","0","1","0","0","0","0","0",3,3,3,3,5,1,1,1,4,3,3,3,2,3,NA,NA,NA,NA,NA,NA,NA,3,4,3,3,98,NA,2,2,1,1,1,1,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","1","0","1","0","0","0",NA,NA,NA,NA,"1",2,3,"31",657,1584464963
"2","1",7,"2","2",98,5,"1","2",3,6,3,3,3,"1","1","1","0","1","1","0","0","1","0","0","0",4,4,4,4,4,4,4,1,5,2,4,5,5,5,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,5,5,4,5,5,5,5,5,5,1,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","0","1","0","0","0","0","1","0","0",NA,NA,NA,NA,"1",4,4,"31",317,1584466021
"2","2",7,"3","2",5,6,"1","2",NA,4,NA,NA,NA,"1","1","1","0","0","1","1","0","1","0","0","0",5,5,5,5,5,5,5,1,4,2,4,5,5,5,NA,NA,NA,NA,NA,NA,NA,1,1,3,3,5,4,4,5,5,5,5,5,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","0","1","1","0","0","0","0","1","0",NA,NA,NA,NA,"1",4,5,"31",566,1585241411
"2","1",7,"2","2",1,7,"1","2",4,4,3,4,3,"0","1","0","0","0","1","0","0","0","0","0","0",5,5,5,4,4,4,4,1,4,1,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,2,2,2,4,4,98,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","0","0","1","1","0","0","1","0","0",NA,NA,NA,NA,"1",3,3,"31",404,1584527119
"1","1",3,"3","2",2,2,"2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA
"1","1",7,"3","2",NA,7,"1","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA
"1","1",10,"2","2",6,5,"1","2",2,3,2,2,2,"1","1","0","0","0","1","1","0","1","0","0","0",5,5,5,5,5,5,4,1,5,3,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,3,3,5,3,3,3,3,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0","1","0","0","0","0","1","0","0",NA,NA,NA,NA,"1",4,4,"31",371,1584520081
"1","2",8,"2","2",1,5,"1","3",4,5,2,5,4,"1","1","1","0","0","1","0","0","1","0","0","0",5,5,5,5,5,3,3,1,5,1,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,2,3,3,3,5,5,5,5,5,5,5,4,4,2,NA,NA,NA,NA,NA,NA,NA,"1","0","0","1","0","0","0","0","0","0","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0","0","0","1","0","0","1","0","0",NA,NA,NA,NA,"1",5,5,"31",566,1584816254
"1","2",8,"2","2",5,4,"1","1",5,6,3,5,4,"1","1","0","0","0","1","1","0","1","0","0","0",3,4,4,4,4,4,4,1,3,2,5,5,3,4,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,5,5,3,4,3,3,3,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","0","1","0","0","0","0","0","0","0",NA,NA,NA,NA,"1",3,3,"31",467,1584532063
"1","2",6,"3","2",5,3,"1","3",4,4,5,4,5,"1","1","1","0","0","1","1","1","1","0","0","0",5,5,5,5,5,5,5,1,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,5,NA,4,5,5,5,5,5,5,1,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","1","1","0","0","0","0","0","1","0",NA,NA,NA,NA,"1",5,5,"31",638,1584722555
"3","1",6,"2","2",6,6,"1","3",4,5,2,4,4,"1","1","1","0","0","1","0","1","1","0","0","0",5,5,3,4,5,3,3,1,5,2,3,4,4,4,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,4,4,4,5,4,4,4,4,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","0","0","0","1","0","0","1","0","0",NA,NA,NA,NA,"1",3,4,"31",560,1584469673
"1","2",5,"3","2",1,4,"1","3",3,3,2,4,3,"1","1","0","0","1","1","0","0","1","0","0","0",4,4,4,NA,3,4,2,1,4,2,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,2,3,3,3,5,4,3,4,4,4,4,4,4,2,NA,NA,NA,NA,NA,NA,NA,"1","0","0","1","0","0","0","0","0","0","1",0,0,0,1,0,0,0,0,0,1,1,"1","0","1","0","0","0","0","1","1","0","0",NA,NA,NA,NA,"1",4,4,"31",273,1584799006
"1","1",9,"2","2",2,4,"1","2",4,4,3,4,4,"1","0","0","0","0","1","1","1","1","0","0","0",4,4,4,4,4,4,4,1,5,4,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,2,3,3,3,4,3,4,5,3,1,4,4,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0","1","0","1","0","0","0","0","0",NA,NA,NA,NA,"1",4,4,"31",288,1584462935
"2","2",10,"1","2",3,5,"1","2",4,4,4,4,4,"1","1","0","0","0","1","1","1","1","0","1","0",5,5,5,3,5,3,4,1,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,2,2,3,3,5,4,4,5,3,3,4,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","1","1","0","1","0","0","1","0","0",NA,NA,NA,NA,"1",4,4,"31",401,1584785373
"1","1",7,"1","2",6,6,"3","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA
